snapped_at,price,market_cap,total_volume
2019-08-29 00:00:00 UTC,0.2438016812143441,677541986.1560982,5509165.175398689
2019-08-30 00:00:00 UTC,0.24903714240422622,691285936.8841938,7081781.95675778
2019-08-31 00:00:00 UTC,0.2525877997804944,702041978.0732344,4471594.495826547
2019-09-01 00:00:00 UTC,0.24675834276473757,685872286.366022,4199561.458416032
2019-09-02 00:00:00 UTC,0.24081486242980546,669392290.9476991,4186955.728894676
2019-09-03 00:00:00 UTC,0.2492583231219903,692091502.076574,4539423.911594924
2019-09-04 00:00:00 UTC,0.24889298047616948,691805576.5287737,5261312.4971624045
2019-09-05 00:00:00 UTC,0.2463567424325074,684706693.5393912,4380947.823766199
2019-09-06 00:00:00 UTC,0.24224026616156416,673082439.4944469,4858432.446019275
2019-09-07 00:00:00 UTC,0.23089275528844436,641779828.2130485,5282088.251817916
2019-09-08 00:00:00 UTC,0.2410847465201397,670102353.7890711,3712709.702192537
2019-09-09 00:00:00 UTC,0.24375890075528409,677118368.4114063,3031774.4866939876
2019-09-10 00:00:00 UTC,0.23917855312264394,664804031.5149474,4363966.945854504
2019-09-11 00:00:00 UTC,0.23896149499564667,663992038.128454,3210195.8751796344
2019-09-12 00:00:00 UTC,0.2384858856041664,662878741.1710963,2688969.4072704855
2019-09-13 00:00:00 UTC,0.23670142264375105,657717605.407616,3065426.000406735
2019-09-14 00:00:00 UTC,0.2419036836974633,672739905.8649331,2810601.0673286766
2019-09-15 00:00:00 UTC,0.24772503210067415,688417964.92699,2538719.0446695224
2019-09-16 00:00:00 UTC,0.24869599696325118,691258054.8893108,2868933.752031242
2019-09-17 00:00:00 UTC,0.24930961778327024,692597633.8883249,3385772.4506649734
2019-09-18 00:00:00 UTC,0.26279378698201067,729158719.3638316,4698852.049582208
2019-09-19 00:00:00 UTC,0.2987772166261405,831556647.086892,10743684.938481744
2019-09-20 00:00:00 UTC,0.29772332138530216,827496599.9965646,8589454.200391434
2019-09-21 00:00:00 UTC,0.3121969186182488,866799464.0054371,8693447.359677082
2019-09-22 00:00:00 UTC,0.29297332843111323,813392036.5354353,7369656.261106318
2019-09-23 00:00:00 UTC,0.27818028575477566,774154834.677258,4770114.771568212
2019-09-24 00:00:00 UTC,0.2781468187558076,773878897.8884921,5822478.72112115
2019-09-25 00:00:00 UTC,0.2561013899357433,717072516.3993875,8419138.337655725
2019-09-26 00:00:00 UTC,0.26087676873950805,725151757.959748,8213579.681424818
2019-09-27 00:00:00 UTC,0.26695191272677504,742002192.2590425,6637274.529436268
2019-09-28 00:00:00 UTC,0.2642616882169166,734523688.9041955,6277058.974960038
2019-09-29 00:00:00 UTC,0.26548504713382043,737923728.2658776,3401091.514419381
2019-09-30 00:00:00 UTC,0.259062104152474,720064126.0395436,2966443.6764443703
2019-10-01 00:00:00 UTC,0.2657293452741835,737619151.3520919,5003688.613192796
2019-10-02 00:00:00 UTC,0.28047338009455003,779085597.1865227,5254372.008367197
2019-10-03 00:00:00 UTC,0.2810879513192478,780485404.1100544,5336295.834758306
2019-10-04 00:00:00 UTC,0.2702988270183014,751372668.098299,4295158.697608776
2019-10-05 00:00:00 UTC,0.26988944309293833,750512822.0415668,4245632.487167677
2019-10-06 00:00:00 UTC,0.27631823665880817,767557303.382612,7579899.760711838
2019-10-07 00:00:00 UTC,0.26744101203263704,743475054.7933357,6136075.845947412
2019-10-08 00:00:00 UTC,0.28233625251440014,784939787.1761583,9157507.525439108
2019-10-09 00:00:00 UTC,0.2749542336574532,764243618.9663206,10463673.331670446
2019-10-10 00:00:00 UTC,0.2795776897176494,777156793.9886733,10416821.536709005
2019-10-11 00:00:00 UTC,0.27640791097130674,768284159.0822903,7699060.333996915
2019-10-12 00:00:00 UTC,0.26895374976838654,747565092.2823393,5615272.202975307
2019-10-13 00:00:00 UTC,0.2686960886545982,747305678.4242498,5781311.586269379
2019-10-14 00:00:00 UTC,0.2782671462424616,773846141.5607862,7132671.4945032615
2019-10-15 00:00:00 UTC,0.28362283895051305,788028897.0583136,7639615.104612109
2019-10-16 00:00:00 UTC,0.2795829909504819,777109390.0362366,6011873.962152544
2019-10-17 00:00:00 UTC,0.27193261280851105,755445757.13336,5386483.6757671805
2019-10-18 00:00:00 UTC,0.27699784252161036,769415814.2757432,4144241.090330869
2019-10-19 00:00:00 UTC,0.2715080188052543,754596002.1231283,5329658.121856995
2019-10-20 00:00:00 UTC,0.26791342673871216,744682764.2903296,3033721.2938594893
2019-10-21 00:00:00 UTC,0.27039053133449137,751309257.7770208,3206379.418739792
2019-10-22 00:00:00 UTC,0.2693988333958412,749203665.6003369,6107359.367098488
2019-10-23 00:00:00 UTC,0.2697098274666374,749666633.1411387,7804426.320379716
2019-10-24 00:00:00 UTC,0.2531454800937777,703505909.638382,9490824.283394616
2019-10-25 00:00:00 UTC,0.2543911440748973,707248294.1079584,4863189.6276837615
2019-10-26 00:00:00 UTC,0.2715214723144783,754644237.7446122,10291309.433897572
2019-10-27 00:00:00 UTC,0.268062141926429,745086841.2848105,15469423.314587008
2019-10-28 00:00:00 UTC,0.2724096483400162,757170867.0181205,13841247.625555689
2019-10-29 00:00:00 UTC,0.28418661033404846,794524864.6026844,24667813.682372008
2019-10-30 00:00:00 UTC,0.2800677418070915,778503887.9168036,12636921.623989463
2019-10-31 00:00:00 UTC,0.28207895204374056,784046989.4808322,11937467.011042193
2019-11-01 00:00:00 UTC,0.27174069184821215,755699822.2143958,9207946.507762624
2019-11-02 00:00:00 UTC,0.273727315941372,760611164.7069112,6019718.467606476
2019-11-03 00:00:00 UTC,0.27295330486252056,758713967.4511192,4307135.818514798
2019-11-04 00:00:00 UTC,0.26936225020196913,748666941.7673202,4735079.079169441
2019-11-05 00:00:00 UTC,0.2736368391855912,760054522.6878828,5248237.955285924
2019-11-06 00:00:00 UTC,0.2761012169324721,767431693.7136487,4852189.049121182
2019-11-07 00:00:00 UTC,0.2808169955477999,778387497.2658485,6989889.244445322
2019-11-08 00:00:00 UTC,0.2709318286056046,753063222.313098,7645123.789707168
2019-11-09 00:00:00 UTC,0.264072771200812,734512705.9661587,8421585.996658172
2019-11-10 00:00:00 UTC,0.26649487306817693,740675623.4669245,4950554.773382679
2019-11-11 00:00:00 UTC,0.26713026595752626,742496663.8089867,8422631.669764493
2019-11-12 00:00:00 UTC,0.25810168753681395,717407026.7408203,7481189.11781777
2019-11-13 00:00:00 UTC,0.26078403738899064,724810162.4433069,6843349.606659305
2019-11-14 00:00:00 UTC,0.2576227527256243,716577754.8317832,5723954.094829892
2019-11-15 00:00:00 UTC,0.2634671367563093,732084969.6255981,12854847.054165158
2019-11-16 00:00:00 UTC,0.2583218679939509,717739640.6583672,10318690.472107282
2019-11-17 00:00:00 UTC,0.256319968642328,712438996.0235572,8708247.395335061
2019-11-18 00:00:00 UTC,0.25711505845487703,714803022.0751467,8468173.66306407
2019-11-19 00:00:00 UTC,0.25011015659295416,695157051.4611742,9330851.051711416
2019-11-20 00:00:00 UTC,0.2456769661019933,682921341.8627433,8237161.351914119
2019-11-21 00:00:00 UTC,0.24060195996761077,668481099.9962294,6250358.378913449
2019-11-22 00:00:00 UTC,0.22731927269401092,631568426.7791747,9468676.83938529
2019-11-23 00:00:00 UTC,0.20938684695120163,583745124.9705944,16652597.38133144
2019-11-24 00:00:00 UTC,0.2153578399628216,599141620.3033228,7972587.371555808
2019-11-25 00:00:00 UTC,0.201854718609034,563367404.6122253,7431632.248435479
2019-11-26 00:00:00 UTC,0.20926425484110397,581690100.7378256,9593091.403520988
2019-11-27 00:00:00 UTC,0.21138170704460868,587755633.1815736,6158185.309409594
2019-11-28 00:00:00 UTC,0.21255197724323877,590145169.5320219,9458612.00238568
2019-11-29 00:00:00 UTC,0.21566361641815573,599568884.465406,5866899.978086307
2019-11-30 00:00:00 UTC,0.21898658918663258,607589006.3162618,6294500.302317304
2019-12-01 00:00:00 UTC,0.2098953318885547,583409461.8630877,6184679.494389503
2019-12-02 00:00:00 UTC,0.20569677004199943,571822017.5263302,5381574.8004779145
2019-12-03 00:00:00 UTC,0.20792821563374453,577938969.627292,5533907.897223291
2019-12-04 00:00:00 UTC,0.203374458035535,565596701.4907091,7214646.993801776
2019-12-05 00:00:00 UTC,0.19716352412775015,548077588.1034082,7201687.259189507
2019-12-06 00:00:00 UTC,0.20365799204819293,566017037.1746923,6932896.910663377
