snapped_at,price,market_cap,total_volume
2019-12-21,43.19886182126821,398664002.1533141,244543362.27203575
2019-12-22,42.73615478713206,393690744.0194447,206400729.74137017
2019-12-23,44.21970406285756,408177553.2914537,229313935.95315248
2019-12-24,42.925583514768576,396065762.2955959,238766110.5005655
2019-12-25,41.592751919184096,383761084.19377977,249761025.57051823
2019-12-26,40.72517668752136,376242793.5714102,241257785.6822268
2019-12-27,40.00964685471561,369700766.888959,313846640.86030585
2019-12-28,39.56141274410281,364818520.8242769,243228880.14344993
2019-12-29,41.83213005829701,387898210.2556484,279422716.5942726
2019-12-30,44.600430736798934,413884430.97641075,312352269.23918223
2019-12-31,42.16813602916995,390070119.530799,260860779.7799583
2020-01-01,41.14378219645246,379697042.17302865,230047532.75870103
2020-01-02,41.7831991364471,386491223.04238737,217854547.82476455
2020-01-03,39.96757093651983,369997269.5984261,205481595.3798244
2020-01-04,43.82060220836618,405742362.0511328,254287340.3849032
2020-01-05,46.164579831790505,426937096.0562592,446024329.6734308
2020-01-06,51.13767846476209,473065995.7420333,458092765.41690135
2020-01-07,56.55601546595422,522839369.24655104,546770012.85539
2020-01-08,54.68706062299755,507620811.1212537,447382950.25601584
2020-01-09,52.213478582316554,484449988.2189241,316283332.37179446
2020-01-10,50.48492929030922,465801170.6305706,256646506.08328232
2020-01-11,56.69817225060775,519520594.93014103,389763603.5560299
2020-01-12,63.34512288489337,590312871.992705,577185383.5227746
2020-01-13,66.21974823703734,613757790.9104655,532957434.77346027
2020-01-14,69.36301282474267,645548346.3550277,425683361.61266327
2020-01-15,88.227217928699,805914072.1014147,1170032653.0836334
2020-01-16,132.03376200729733,1245342339.2734768,2939093788.136024
2020-01-17,127.99697994742073,1183045183.226221,2115322841.3663032
2020-01-18,113.7252426787976,1055153247.7926615,1606770829.7425857
2020-01-19,101.26469892326082,939715889.077218,1364246320.1193695
2020-01-20,104.69559273575832,971730499.364014,1240742638.7445002
2020-01-21,109.29350219020289,1014592667.5139308,1355176519.821618
2020-01-22,110.71024790093024,1027933755.7783134,1008726648.1565197
2020-01-23,107.25297151744728,995358301.4610324,812317337.8167318
2020-01-24,102.1786843372468,949067884.482194,929611255.073376
2020-01-25,100.55049482674144,934115614.1469678,797100533.7095145
2020-01-26,102.31372935468416,951215128.6724584,686374854.2223867
2020-01-27,110.94820097822698,1031088569.2959392,1032565479.8550568
2020-01-28,112.6717312344974,1047300681.2645428,1097474578.452158
2020-01-29,115.47023875573528,1073507657.251385,1008966385.0923392
2020-01-30,121.80635789385572,1132618602.484133,1202168249.4885015
2020-01-31,122.10258375149311,1136276650.2775054,1058860709.4361176
2020-02-01,115.06702776938718,1070998091.0860196,867857361.6320843
2020-02-02,116.3794601108222,1083414347.7933035,695988597.4332
2020-02-03,114.32490673062932,1064481050.0160692,675455462.8067905
2020-02-04,114.99904701537396,1070646966.1882932,758504139.1602645
2020-02-05,110.7586108854174,1031653706.1465071,771982409.9962356
2020-02-06,122.1391377517088,1137864040.502002,916557352.7640536
2020-02-07,119.86656384827926,1116898001.561238,1063958440.7428608
2020-02-08,118.37771052486472,1102873637.8803062,763332138.4409641
2020-02-09,126.1999629579098,1176338578.7659266,1123299088.031268
2020-02-10,127.59962706435796,1189603188.9159565,1025970027.961084
2020-02-11,127.76080768694666,1191323766.5207288,877548748.6547636
2020-02-12,129.64099042802704,1209078112.9789362,823606287.7923907
2020-02-13,133.00028094591212,1240633238.7621694,1128220298.1519918
2020-02-14,130.92901467828622,1221534854.889552,1169845853.1359923
2020-02-15,132.56309703980455,1235096414.8574865,952565245.9266278
2020-02-16,120.3861185666067,1123582925.7816672,802322205.3218217
2020-02-17,112.21556751193876,1043343860.9467344,987593373.2859224
2020-02-18,114.95667744884528,1070141257.7204036,1039306176.8619064
2020-02-19,115.54573589470895,1080431086.5080862,902594814.7113662
2020-02-20,105.1562122200198,988663229.2653862,711108375.1040798
2020-02-21,104.92405915581617,978630749.7974594,889120294.7842323
2020-02-22,107.7355089782796,1010808446.8394376,959841847.6424992
2020-02-23,103.91876191413564,971129819.275072,724248477.262381
2020-02-24,107.9041239701562,1008473937.7875228,959196176.948643
2020-02-25,103.58050305936376,968318542.3765204,828631576.1316346
2020-02-26,95.70389304201204,896005493.3336976,685636828.1076689
2020-02-27,84.69029217279733,795283858.1750109,708042740.6325635
2020-02-28,88.29012969072024,831238519.9437615,919112753.928082
2020-02-29,88.4500279686806,827475544.0628374,971688830.4039904
2020-03-01,85.61342012287588,801523600.4698517,673360218.2592353
2020-03-02,85.28504760206427,798594527.6108086,802916508.7581649
2020-03-03,90.01423609493716,843030239.9954227,618655457.4692711
2020-03-04,88.76216436616416,831455874.3883908,729702861.96586
2020-03-05,86.93762496939473,814512724.030951,515855946.19299674
2020-03-06,89.9185788573601,842593880.1259866,697103591.8832235
2020-03-07,93.63146090091888,877542422.4546231,577037875.9967967
2020-03-08,88.36580315895515,828344539.0180727,1492801887.6558688
2020-03-09,74.0614684947454,694357295.3953372,655612329.0141716
2020-03-10,73.38996590042248,688210102.1493548,763217229.5761945
2020-03-11,74.59066067320512,699575445.4676304,649309713.8275665
2020-03-12,72.17341541478721,677047936.1155809,556250949.9270205
2020-03-13,43.799784502354065,409259407.4613596,572862912.1042602
2020-03-14,51.11152196695558,479642720.7506781,819170034.603523
2020-03-15,45.908571214682595,429958035.6310187,438004074.66920894
2020-03-16,47.64355456443128,446849534.1377142,414193895.7710216
2020-03-17,43.10025698849719,405419468.797073,487208311.9528844
2020-03-18,46.43591959057135,438097508.6486962,366257046.43288016
2020-03-19,60.7743998886481,570838983.4570414,752889893.0193934
2020-03-20,65.64231775208393,616675113.2145619,1012507574.9003704
2020-03-21,71.47067701163228,670121651.7945738,952133286.628492
2020-03-22,70.9810228499287,667071345.9782468,976162967.1420778
2020-03-23,62.636788074814426,588760228.0932319,579634810.3622867
2020-03-24,70.28240311013805,660242737.5801152,596529958.1070459
2020-03-25,69.45452997034646,654301632.6590192,556138044.3001381
2020-03-26,67.92053324736207,638772798.1103714,515294714.7147065
2020-03-27,68.65862380649374,645831211.074828,502694200.99465984
2020-03-28,68.2278738903691,635446863.5654325,617659262.4104456
2020-03-29,65.2400025636532,613895983.6886457,682148002.518584
2020-03-30,60.82428091389272,572448245.2027432,443271695.56282777
2020-03-31,65.92673046128404,620935722.5123086,548693527.1571046
2020-04-01,65.38373695195519,615821498.5143112,484162727.18736935
2020-04-02,66.251827804949,618574731.9279501,592009237.4805171
2020-04-03,67.44112829792117,634913587.824436,639514903.7704628
2020-04-04,67.39233314316256,634739608.3385994,563954042.6212552
2020-04-05,68.53156151322037,645469513.8885764,498665811.46513367
2020-04-06,66.8149183979964,628929505.2711428,478656621.7463119
2020-04-07,72.98745673413892,687437688.2403295,579985993.9337568
2020-04-08,72.06196778365992,678720903.0134281,585185925.4384323
2020-04-09,75.34251555625625,710859358.5176731,620026976.3495739
2020-04-10,82.86314438067268,781878192.0741119,784426684.3099163
2020-04-11,74.13091462087606,699610399.7043715,923653676.7610798
2020-04-12,74.92028596214172,706344320.7751188,715904087.3005925
2020-04-13,74.68558373716233,705099150.8567387,746913536.5537655
2020-04-14,73.2677689788329,691816130.0920715,837883343.1659521
2020-04-15,72.41495903671844,683806514.8980014,652067388.8050262
2020-04-16,70.75734983339017,668373585.5343021,526299770.7327489
2020-04-17,75.74768113534394,715641656.8452266,909653822.665834
2020-04-18,76.30002658814445,724617615.303217,823817937.2292707
2020-04-19,80.11546179984516,756757756.307256,672832734.9833816
2020-04-20,80.2209314470219,758312814.4293879,904650861.2316293
2020-04-21,74.49401611665182,704749449.8669244,724380678.7506752
2020-04-22,74.52892163550896,704621270.6609243,706865627.0645869
2020-04-23,80.76759115045583,763603732.0247692,751860779.7795653
2020-04-24,80.207973282689,758284849.806816,875710990.2880968
2020-04-25,81.23687278441402,768040477.0354458,697780269.973215
2020-04-26,85.79516590510654,811136099.7851655,679119761.3309655
2020-04-27,84.23474487480611,796383359.171078,705366093.5932019
2020-04-28,82.7660893629555,782450877.7678742,597847056.0508444
2020-04-29,82.46805226555759,779680458.2853787,616624618.9522383
2020-04-30,85.27766118653294,806243437.6565266,689428475.0740825
2020-05-01,80.71567338157072,763112884.1300336,894200080.3588618
2020-05-02,82.85695773426427,784440235.264341,642526082.183971
2020-05-03,83.32955301010085,787825373.5206233,549726180.882734
2020-05-04,81.22004581514419,767881389.2584045,555465229.6334412
2020-05-05,79.68862937864313,750527493.6580293,578808641.350039
2020-05-06,79.5235228951412,751841896.007125,540258915.1828097
2020-05-07,77.47757147691486,732498789.2455438,650935417.6257061
2020-05-08,78.79098234311262,744916213.4230486,568025201.3760097
2020-05-09,81.50896399012655,772482948.3530692,642235806.6930606
2020-05-10,79.71625976564546,753085291.6427064,597955461.7530586
2020-05-11,72.3847462649339,683543616.6977181,771649672.0185212
2020-05-12,69.7932573531641,661584452.9675546,664893418.7691376
2020-05-13,73.13720730474408,691463539.4255732,490098436.324796
2020-05-14,73.81573090190416,698148474.4008155,509477749.1369818
2020-05-15,74.49519681966595,703723673.8868858,499866732.83071136
2020-05-16,72.15323489483849,682160736.2379227,525563097.0969332
2020-05-17,73.47259387474935,696967342.9700868,454422843.5136728
2020-05-18,75.00568369347003,708211712.6845003,426937303.4448419
2020-05-19,75.97884586197642,719181657.1052258,474786025.9709518
2020-05-20,77.05882329029663,727851510.3091782,483730153.8632073
2020-05-21,78.19328181834305,739574209.2917517,463036149.1887129
2020-05-22,72.94750931488308,690619938.161275,565027125.238144
2020-05-23,73.70751721242975,699128395.512995,516434591.25590503
2020-05-24,73.83931092494548,698101461.109472,502482860.0228297
2020-05-25,71.48476228493749,679118165.0491673,498902251.3398232
2020-05-26,73.48848689799959,694784653.8054037,498371477.75574136
2020-05-27,72.52220987263279,685668732.6762866,489501320.4204883
2020-05-28,73.4474034302013,694396237.0049466,486198381.0741778
2020-05-29,75.0003283878307,709078107.2490554,539329948.6936857
2020-05-30,74.03213744616805,701133516.7578477,528327498.55537254
2020-05-31,78.84086928131909,747559985.2890933,614493657.7453883
2020-06-01,76.69207666436492,725072459.4292701,625582119.7149874
2020-06-02,80.05493123505522,756866007.6069314,589798193.4267741
2020-06-03,78.22709443039618,739585029.1143347,617065226.2370503
2020-06-04,77.96675702246395,737135547.1817571,535369299.2948721
2020-06-05,79.3152094667221,749668326.4064118,516873040.38841903
2020-06-06,77.93641227418661,736966287.9876896,488837599.74654305
2020-06-07,78.27058082847597,740065953.4831287,446034872.00455993
2020-06-08,77.9354352704598,736827586.186617,473121737.1551165
2020-06-09,77.61840877285073,733830311.991896,455507254.2758172
2020-06-10,77.51649542709593,732866789.246535,454260637.5911538
2020-06-11,78.1974610349286,739114242.5337877,478833399.79984784
2020-06-12,72.33504912029086,683879668.5362996,509654534.67873126
2020-06-13,73.30603058158385,693059650.9650068,463149184.58596814
2020-06-14,74.14509310582241,699463895.888772,450634189.74818075
2020-06-15,72.6793569960376,687134869.9746584,429433342.78875375
2020-06-16,71.93590056095027,679798490.3775902,465597163.6108213
2020-06-17,72.51493695713657,685580388.1145939,435740292.87934566
2020-06-18,72.37035871700382,686037092.6873176,414678657.8988763
2020-06-19,71.51349413687224,676112413.8433452,343131737.3188538
2020-06-20,70.0402123877484,661957139.7327162,300635999.21919405
2020-06-21,71.04273961431107,671661743.6528028,376776213.0300111
2020-06-22,70.11773621305642,662022166.0631241,316779130.601033
2020-06-23,72.40990926680755,684521770.1412773,330708442.44702184
2020-06-24,74.0314986995662,699820186.8840679,371731112.1336823
2020-06-25,72.27819343823644,683342135.9643216,287749201.3769936
2020-06-26,71.17859126014677,673206874.8874093,228997691.59768125
2020-06-27,70.72618896443825,669359814.4303496,221232794.28271955
2020-06-28,66.93119488394804,632697099.3230107,227118168.3266771
2020-06-29,67.73937165498823,640149689.1445782,222712194.5112675
2020-06-30,68.93954011393326,651777394.4379127,236113261.38673624
2020-07-01,68.26880215376703,645682897.0198915,257838434.30096543
